fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age,body_type
7,4x2,Automático,449,estándar,3.0,7,Combustión,516,Sí,Mercedes Benz,9,Sedan
10,4x4,Automático,310,estándar,3.0,8,Combustión,325,Sí,Audi,7,Sedan
11,4x4,Automático,300,estándar,2.0,8,Combustión,295,Sí,Jaguar Xe,6,Sedan
17,4x2,Automático,150,estándar,1.4,7,Combustión,148,Sí,Seat,6,Suv
12,4x4,Automático,320,Gasolina,2.0,8,Combustión,295,Sí,Volvo,7,Suv
9,4x4,Automático,302,Gasolina,3.5,7,Combustión,273,No,Mercedes Benz,11,Suv
8,4x4,Automático,328,Gasolina,3.0,7,Combustión,354,Sí,Mercedes Benz,8,Suv
13,4x2,Automático,190,Gasolina,2.0,8,Combustión,221,Sí,Volvo,5,Suv
9,4x2,Automático,247,Gasolina,2.0,10,Combustión,273,Sí,Honda,7,Sedan
14,4x4,Automático,250,estándar,2.5,0,Eléctrico,243,Sí,Infiniti,8,Suv
12,4x4,Automático,224,Gasolina,2.0,8,Combustión,258,Sí,Mercedes Benz,5,Suv
9,4x2,Automático,330,estándar,3.7,7,Combustión,270,No,Infiniti,9,Sedan
16,4x2,Automático,145,Gasolina,1.8,0,Combustión,145,No,Nissan,5,Sedan
7,4x4,Automático,449,estándar,3.5,9,Combustión,516,Sí,Mercedes Benz,7,Suv
14,4x4,Automático,181,Gasolina,1.5,8,Combustión,190,Sí,Ford,4,Suv
13,4x2,Automático,169,Gasolina,2.5,0,Combustión,172,No,Renault,6,Suv
13,4x2,Automático,169,estándar,2.5,0,Combustión,172,No,Renault,6,Suv
9,4x2,Automático,315,Gasolina,2.7,6,Combustión,350,Sí,Ford,8,Suv
9,4x4,Automático,310,Gasolina,3.6,6,Combustión,271,No,Gmc,8,Suv
10,4x4,Automático,242,Gasolina,2.0,9,Combustión,273,Sí,Mercedes Benz,6,Suv
9,4x4,Automático,265,estándar,3.5,0,Combustión,245,No,Infiniti,8,Suv
9,4x4,Automático,265,Gasolina,3.5,0,Combustión,245,No,Infiniti,7,Suv
9,4x4,Automático,271,Gasolina,3.2,9,Combustión,239,No,Jeep,10,Suv
12,4x2,Automático,272,estándar,2.0,8,Combustión,260,Sí,Cadillac,9,Sedan
9,4x2,Automático,240,Gasolina,2.0,6,Combustión,270,Sí,Ford,8,Sedan
13,4x2,Automático,138,Gasolina,1.4,6,Combustión,148,Sí,Buick,8,Suv
11,4x4,Automático,248,Gasolina,2.0,7,Combustión,273,Sí,Audi,7,Suv
15,4x2,Automático,138,Gasolina,1.4,6,Combustión,162,Sí,Suzuki,7,Suv
13,4x2,Automático,192,Gasolina,2.0,7,Combustión,206,Sí,Mini,4,Convertible
17,4x2,Automático,148,Gasolina,1.4,7,Combustión,184,Sí,Volkswagen,7,Hatchback
9,4x4,Automático,328,estándar,3.0,7,Combustión,325,Sí,Audi,9,Sedan
5,4x4,Automático,450,Gasolina,4.8,8,Combustión,479,Sí,Bmw,9,Suv
11,4x2,Automático,260,Gasolina,3.5,0,Combustión,240,No,Nissan,8,Suv
10,4x4,Automático,242,Gasolina,2.0,9,Combustión,273,Sí,Mercedes Benz,6,Suv
10,4x4,Automático,302,Gasolina,3.0,8,Combustión,295,Sí,Bmw,10,Suv
11,4x2,Automático,231,Gasolina,2.0,6,Combustión,207,Sí,Mini,8,Hatchback
9,4x2,Automático,208,Gasolina,2.0,7,Combustión,258,Sí,Mercedes Benz,8,Sedan
10,4x4,Automático,302,Gasolina,3.0,8,Combustión,295,Sí,Bmw,8,Suv
17,4x2,Automático,150,estándar,1.4,8,Combustión,184,Sí,Seat,5,Suv
